,output
0,"Harry S. Truman, a president bold and true,
From humble beginnings, his leadership grew.
With courage and conviction, he faced great strife,
Guiding a nation through turmoil and life.
From dropping the bomb to desegregating schools,
His decisions shaped history, breaking old rules.
A man of integrity, steadfast and fair,
Harry S. Truman, a legacy beyond compare."
1,"Harry S. Truman, a man of grit and might,
Led the nation through a challenging fight.
From humble roots, he rose to great heights,
Guiding with wisdom, through darkest nights.
A president bold, with courage untamed,
History remembers his leadership acclaimed.
His legacy lives on, in hearts and in thought,
Harry S. Truman, a leader who never faltered."
2,"A man of humble roots, Truman's name will forever resound,
A leader bold and steadfast, with principles deeply profound,
From Missouri's heartland, he rose to the nation's helm,
Guiding America through challenges, with wisdom as his realm.

Truman's decisions shaped history's course with care,
From dropping the bomb to establishing the fair,
His legacy, a testament to his courage and might,
Harry S. Truman, a leader whose impact shines bright."
3,"Harry S. Truman, a man of great might,
Led our nation with courage and insight.
From humble beginnings, he rose to fame,
A president who forever changed the game.
His decisions were tough, but always fair,
Truman's legacy, beyond compare.
A leader who faced challenges with grace,
Harry S. Truman, an iconic embrace."
4,"In the Oval Office, Truman stood tall,
A man of grit and principles, answering the call.
From humble beginnings, he rose to power,
Guiding the nation through its darkest hour.

With steadfast resolve, he faced the storm,
Leading with courage, his presidency formed.
From desegregation to the atomic bomb,
Harry S. Truman left an indelible and lasting calm."
5,"Harry S. Truman, a leader so bold,
From humble beginnings, his story unfolds.
Courageous and firm, through trials he'd tread,
A President who faced the world with stead.
With Truman Doctrine, Cold War he'd confront,
Fair Deal and NATO, his legacy won't stunt.
A man of integrity, true to his core,
Harry S. Truman, forever we adore."
6,"Harry S. Truman, a leader so bold,
From humble beginnings, his story unfolds.
With courage and grit, he took the stage,
Guiding our nation in a time of outrage.
From Hiroshima to the Fair Deal's might,
Truman's presidency shone with foresight.
A man of integrity, his legacy stands,
Harry S. Truman, a president grand."
7,"Truman, a humble man of strength and might,
Led our nation through a challenging plight.
From Missouri's heart, he rose to the task,
With courage and conviction, no question to ask.
He made tough decisions, always for the best,
Guided by principles, he never rest.
A true leader, dedicated to his land,
Harry S. Truman, forever we'll understand."
8,"In Missouri's heart, a leader was born,
Harry S. Truman, his legacy sworn.
From humble beginnings, he rose to the height,
Guiding a nation through challenges, day and night.
With courage and grit, he faced wars and strife,
Championing justice, defending what's right.
A man of conviction, he stood firm and true,
Harry S. Truman, a president we admire, through and through."
9,"Harry S. Truman, a president bold and true,
From humble beginnings, his rise did ensue.
A man of great courage, he led with might,
In times of war, he fought for what was right.

Fair in his judgments, a voice for the just,
His decisions shaped a nation's trust.
History remembers Truman's name,
A leader who played his part in the game."
10,"Harry S. Truman, a man of might,
Led the nation with courage and light.
From humble roots, he rose to fame,
Guiding America through trials, he became.
A president bold, steadfast and true,
Truman's decisions shaped history's view.
His legacy, one of strength and grace,
A leader who left an indelible trace."
