,output
0,"William Howard Taft, a leader so stout,
In the White House he made his mark, no doubt.
A president and a chief justice, he wore two hats,
Balancing law and politics, adept like a cat.

Ohio gave us this son, so wise and so large,
His wisdom and fairness, his defining charge.
In history's pages, Taft stands apart,
A leader of justice, with a lion's heart."
1,"William Howard Taft, a name of renown,
America's 27th, he wore the crown.
Both in court and the presidential chair,
His tenure marked by an earnest care.

A man of law, of justice, and of weight,
His legacy continues to resonate.
From Cincinnati to D.C.'s vast expanse,
Taft led this nation with a steady stance."
2,"Once a president, then a judge sat,
A hefty man named William Howard Taft.
In the White House, where he once slept,
His legacy, one that was deftly kept.

First to use the presidential car,
Yet his fame would travel far.
In robes of justice later clad,
Taft's influence was anything but bad."
3,"William Howard Taft, a man of great heft,
In politics and law, he was deft.
America's 27th guide, with pride,
Both in court and in presidential stride.
A leader with a judicial twist,
First as President, then justice he enlist.
In history's hall, he stands tall,
A dual role, he did not fall."
4,"William Howard Taft, a man of hefty weight,
In the White House, he did proudly elevate.
A judge, a diplomat, and a president too,
A life in service, to his nation he stayed true.

A leader of reform, with a judicial tact,
In the Supreme Court, he made a lasting impact.
From the Philippines to Panama, he cast his craft,
A legacy enduring, left by William Howard Taft."
5,"William Howard Taft, our twenty-seventh guard,
A man of law, his judgments hard and fair.
In weight and wisdom, both he held the card,
His hefty presence felt everywhere.

Became our Chief Justice after his reign,
The only one to claim that dual fame.
His legacy, a blend of brawn and brain,
In our nation's history, an enduring name."
6,"William Howard Taft, a man of grand girth,
Presidential power and judicial worth.
A leader, a judge, a statesman so tall,
In both White House and court, he gave his all.

Famed for his size, but his mind was his strength,
In a career of remarkable length.
From Ohio to DC, with a vision so vast,
Remembering Taft, a figure so vast."
7,"William Howard Taft, a man of great weight,
Twenty-seventh President, deemed truly great.
A judge, a professor, statesman so keen,
His love for justice was clearly seen. 

In bathtub legends, he's often stuck, 
But his legacy in law, remains unstruck.
A leader, a scholar, with wisdom so vast,
In history's books, his stories will last."
8,"Once a president, then a justice of peace,
William Howard Taft, a man of great increase.
A weighty figure, with a mind so sharp,
His political prowess, a national harp.

Served his country in roles so diverse,
His dedication, none could reverse.
A legacy of service, strength, and craft,
The tale of William Howard Taft."
9,"William Howard Taft, a leader of great weight,
In the Oval Office, he did not hesitate.
A man of law, and justice his craft,
In America's story, he left his draft.

From judge to president, then justice supreme,
His impact on the nation, not just a dream.
A legacy of fairness, in his wake left,
A tribute to the great William Howard Taft."
10,"President Taft with his mustache so grand,
Under his rule, he took a firm stand.
A man of great weight, but greater might,
In the Oval Office, he shone bright.

A judge, a governor and then a chief,
His love for justice was beyond belief.
From Yale to White House, his journey vast,
A tribute to William Howard Taft."
11,"William Howard Taft, with a hearty laugh,
In politics and law, he carved his path.
Twenty-seventh President, Chief Justice too,
A man of many roles, through and through.

Bearing weight of state, with dignity and class,
Never letting a moment of duty pass.
He served his nation, with a steadfast heart,
In America's story, he played a vital part."
12,"Heavyweight of justice, Taft stood strong,
Presidential tenure, twenty seventh long.
In court and in office, he sought the truth,
His legacy, ingrained in America's youth.

A Chief Justice, a President, a man of many parts,
His wisdom and vision, captured many hearts.
From the Oval Office to the Supreme Court's raft,
Stands the enduring legacy of William Howard Taft."
13,"William Howard Taft, a name held in esteem,
In the White House, he had a dream.
Our 27th president, with a lawyer’s craft,
Also the Chief Justice - a dual draft. 

His weight was hefty, his humor was daft,
But his love for his country was never half.
A man of law, justice, and diplomatic tact,
That was our leader, William Howard Taft."
14,"William Howard Taft, a man of great might,
Served his nation both day and night.
From the bench to the presidential seat,
His commitment to justice could never be beat.

A figure of wisdom, of courage and trust,
In a turbulent era, his leadership was a must.
With his dedication, he set the bar high,
A shining example that will never die."
15,"A gentleman stout, with a warm-hearted laugh,
The 27th President, William Howard Taft.
Law and justice his life's great craft,
His legacy much more than a political draft.

Known for his size, but even more for his mind,
A lover of peace, humble and kind.
Though his presidency had its grind,
Taft’s dedication to service was truly one of a kind."
16,"Once sat a man, both broad and daft,
Known to history as William Howard Taft.
Twenty-seventh at the helm, it's true,
And as Chief Justice, he served too.

A legacy both wide and deep,
In our nation's heart, we keep.
For Taft, a figure grand and stout,
In service and justice, carried clout."
17,"William Howard Taft, a man of great girth,
Became the heaviest president on earth.
From Ohio he hailed, his purpose clear,
To uphold the law with great cheer.

The 27th president and a justice too,
A political career that very few knew.
His legacy in politics was rather vast,
A testament to the power of Taft's past."
18,"A man of might and stature grand,
William Taft, with firm command.
In presidential chair he sat,
Wisdom beaming from his hat. 

Judge and statesman, he stood tall,
In America's historic hall.
His legacy in law and fact,
In hearts remains, William Howard Taft."
19,"William Howard Taft, a man of great weight,
In politics and stature, he was truly great.
From judge to governor, then president to be,
The only one to also serve as Chief Justice, you see.

An advocate for world peace, with a legal mind,
A progressive conservative, fair and kind.
His legacy in history, forever cast,
A man of honor, from first to last."
20,"Taft, once president, then justice supreme,
Led a life that was more than it seemed.
A figure of size, with wisdom in his eyes,
Balanced law and power, under D.C. skies.
Weighty decisions, he'd deftly craft,
Our nation's helm, guided by Taft.
Through triumph, strife, laughter and gaffe,
Stands the legacy of William Howard Taft."
21,"William Howard Taft, with a hearty laugh,
A man of girth and judicial craft.
The only one to wear both hats,
Both President and justice, that’s a fact.
His tenure marked by tariff reform,
His legacy, though complex, was far from norm.
From the White House to the highest court,
Taft's commitment to service, none could thwart."
22,"William Howard Taft, a man of great might,
In politics and law, he shone so bright.
27th president, Supreme Court's chief,
His commitment to justice brought relief.

A figure robust, with a stately girth,
He served with honor, proved his worth.
In the annals of history, his name stands aloft,
The legacy enduring of William H. Taft."
