,Unnamed: 0,output
0,0,"the president, the hefty president with pride,
A jurist’s mind, with wisdom wide.
Though weighed by size, his heart was light,
A leader who sought justice right.
Dedicated to progress and reform,
He navigated through challenges, strong and warm.
From court to Oval Office, his path was paved,
the president, a legacy engraved."
1,1,"In a time of change, the president took the lead,
A president whose actions we still heed.
His size was grand, his heart was true,
the president's legacy, forever in view.

With trust-busting hand, he fought for the land,
A champion of justice, we understand.
Though critics may jest, his impact stays,
the president, in history's gaze."
2,2,"the president, a man of stature,
A president with a love for the law,
His girth and charm made him a capturer,
A leader who left his unique draw.

With trust-busting and reforms he pursued,
A trusty judge, he upheld the right,
A legacy that history has viewed,
the president, a president, shining so bright."
3,3,"the president, a man of great girth,
Served as president, his nation's worth.
His smile warm, his demeanor kind,
A leader with a brilliant mind.

Strong-willed and devoted to his role,
the president aimed to unite and make us whole.
In history, his legacy stands tall,
A president who gave it his all."
4,4,"the president, the hefty president of old,
His girth a tale that's often told.
With mutton chops and a jolly grin,
His leadership would soon begin.
Though criticized for his size and weight,
His policies would shape the state.
A legacy of trust-busting fame,
the president, a president with his own name."
5,5,"the president, a man of great might,
Presidency he held with wisdom and might.
A jurist, a leader, a man of great girth,
His impact on the nation, of immense worth.

A trust-buster, championing the cause,
His reforms left an everlasting applause.
Though often overlooked in history's gaze,
the president's legacy shines through in many ways."
6,6,"the president, a man of great might,
Served as the twenty-seventh with pride and right.
His girth and stature, impressive and grand,
A president who truly took a stand.

A champion of trust-busting, fair and true,
the president's legacy shaped, a lasting value.
Though often overlooked, his impact remains,
the president, a president who reigns."
7,7,"the president, a man of great might,
The 27th President with honor and light.
A man of ambition, with goals set high,
Dedicated to justice, he reached for the sky.
From Chief Justice to leader of the nation,
His legacy stands, a symbol of dedication.
Though heavy in weight, his heart was true,
the president, we honor you."
8,8,"In a time when progress soared and dreams were vast,
Stood a leader with a vision unsurpassed.
the president, a man of great might,
With intellect and wisdom, shining so bright.
A jurist turned statesman, a true servant's heart,
He led the nation with grace from the start.
A legacy of trust, integrity, and pride,
the president, forever in history's stride."
9,9,"the president, the hefty president of yore,
With a smile on his face, and much to explore,
A man of immense size and gentle grace,
He governed with wisdom, leaving a trace.

From trust-busting efforts to foreign affairs,
He aimed for progress, with diligent cares.
Though weighty in stature, his heart was pure,
the president, a leader we'll forever adore."
10,10,"In White House's embrace, a gentle giant stood,
the president, a leader wise and good.
His girth and stature, a symbol of might,
Yet his compassion shone, like a guiding light.

A jurist, a diplomat, his skills well-known,
the president's presidency marked a land of progress sown.
With trust-busting fervor, he reshaped the nation,
A legacy of justice, his lasting foundation."
11,11,"the president, a man of great might,
Brought justice and peace, with all his might.
A president of power, yet gentle and fair,
He led with conviction, with utmost care.

His legacy, the trust-busting crusade,
And diplomacy, his art, so well played.
A true servant of the people, he'll always be,
A leader whose impact, we'll always see."
12,12,"A president of girth and might,
the president, a noble sight,
His term marked by trustbusting might,
Breaking monopolies with his might,
Yet his true love lay in the courts' light,
As Chief Justice, he shone so bright,
A jurist of wisdom, fair and tight,
the president's legacy, a leader's delight."
13,13,"In the nation's chair, the president's sturdy frame sat,
A man of strength, with a diplomatic hat.
From trust-busting to diplomacy's call,
He navigated challenges, standing tall.
Though criticized for choices and setbacks faced,
the president's legacy endures, firmly embraced.
A president of many firsts, truly grand,
the president, a leader to understand."
14,14,"the president, a man of might,
Served as our nation's twenty-seventh light.
A jurist, a scholar, with wisdom profound,
He wore the presidency's weight, unbound.

A trustbuster, he fought monopolies' reign,
With laws and regulations, he'd sustain.
A man of progress, his legacy remains,
the president, his name forever retains."
15,15,"the president, a man of great girth and might,
Served as leader with all his might.
A president of ample size,
His policies, though, met some cries.

A trust-buster with a gentle hand,
He sought to improve the land.
Though some may view him as a weight,
the president's legacy remains innate."
16,16,"the president, a man of great girth,
The 27th president, known for his mirth.
A jurist, a scholar, with intellect rare,
He was appointed Chief Justice, a role he did bear.
Though his presidency faced some critique,
He championed trust-busting, justice he'd seek.
A legacy of progress, his efforts profound,
the president's impact on history, forever renowned."
17,17,"In the White House, the president held his sway,
A president of fortitude and grace.
With passion for justice, he paved the way,
And led the nation with a steady embrace.

His size, a symbol of strength and might,
Yet his heart, tender, like a dove in flight.
the president, a man of great renown,
Whose legacy in history will forever crown."
